연도,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2014,발생건수,4576,5935,9185,9776,9133,10384,9219,9666,10377,12035,9411,10412
2014,검거건수,3417,4238,5724,6235,6548,6328,6418,6102,7020,8329,5470,6121
2015,발생건수,11129,9223,13506,13794,12245,13650,13548,10904,11382,14617,10011,10670
2015,검거건수,6520,5360,9097,9987,9429,10323,9747,8971,8986,12721,6360,7387
2016,발생건수,10207,9974,13345,12658,17909,11103,12063,14631,13209,21085,7774,9117
2016,검거건수,7570,7768,11160,10789,15557,9075,10057,12909,11425,19278,5230,6940
2017,발생건수,9652,11706,13528,11493,11755,10367,10433,11317,11402,9551,11156,9374
2017,검거건수,7661,9924,11541,10307,10032,8194,8509,8753,9276,7844,8150,7298
2018,발생건수,11393,10031,12978,11894,11567,12361,13180,13420,12001,14562,14007,12210
2018,검거건수,8402,7742,10005,9357,8743,9299,9850,9615,9045,11501,10013,8561
2019,발생건수,14201,11115,14111,15534,15185,15807,17049,15057,13605,17987,15296,15552
2019,검거건수,9750,8332,10419,12152,11950,11735,12491,10909,10186,14247,10080,10308
2020,발생건수,14493,13756,18648,18705,17491,22854,21356,19015,24150,22283,18866,22481
2020,검거건수,8892,8594,12829,14816,12668,15798,14173,12438,16508,15078,12375,13740
2021,발생건수,11748,11181,15502,16961,15763,22329,18193,20192,19304,23779,22073,20782
2021,검거건수,6818,7962,10643,12324,10442,15703,11633,13233,13153,16099,11182,9518
